Validation Data (MB),Predicted data (MB),Test data (MB),Predicted data (MB)
1.354647,1.3631302609500762,1.358601,1.3482104534181105
2.241725,2.219286058059792,2.243734,2.2207094680496398
2.255057,2.257031491015357,2.252729,2.257698883677634
2.249882,2.2471824312185142,2.2471,2.247366998588828
2.252368,2.2546768296018764,2.25504,2.2567223045241733
2.254896,2.2430389135429025,2.250412,2.251013014037589
2.248208,2.256945711966477,2.253486,2.2453598916781665
2.243924,2.2608256709920065,2.244423,2.243674598805327
1.809244,2.088824196200746,2.259067,2.1351751735751296
1.541752,1.4780131799138374,1.541752,1.4607548730920072
1.347415,1.3631894982874293,1.347415,1.3480976096280557
2.239785,2.219070059193406,2.239785,2.220517792018775
2.25986,2.2574139082328095,2.25986,2.257997419513611
2.244494,2.246883397094525,2.244494,2.247234810775648
2.23407,2.254947021682554,2.23407,2.2568039956495056
2.229177,2.2428026168941138,2.229177,2.2509484196765612
2.250976,2.257140056260017,2.250976,2.2454262403131082
2.258283,2.2605859431563218,2.258283,2.243491929023655
2.237688,2.088916124176432,2.237688,2.1352469484258165
1.432304,1.478006931714802,1.432304,1.4609206258008598
1.340151,1.3632471748600068,1.340151,1.3479845922478901
2.241285,2.2188555756284636,2.241285,2.2203262683497442
2.261075,2.2577947290395706,2.261075,2.258295620611591
2.2534,2.2465860942910147,2.2534,2.2471031048624788
2.256902,2.2552153746370287,2.256902,2.2568852125571723
2.248316,2.2425682050614064,2.248316,2.2508842142272556
2.227675,2.257332488029501,2.227675,2.2454922359072285
2.238366,2.2603481258282656,2.238366,2.243309682298751
2.244984,2.0890062081346734,2.063615,2.13531823358592
1.445028,1.4780023865653042,1.356026,1.4610867566468428
1.359768,1.3633033062585334,1.357832,1.3478714030051897
2.262184,2.2186425920056543,2.262796,2.2201348955069165
2.238521,2.258173968583364,2.245327,2.2585934884089234
2.242613,2.246290507762115,2.244886,2.2469718793275817
2.249855,2.2554819035341573,2.245548,2.256965956911806
2.239672,2.24233566286453,2.237093,2.250820395977456
2.230609,2.2575230226098775,2.231023,2.2455578801221208
2.257959,2.2601122035151846,2.25382,2.243127856990295
1.884543,2.089094463677913,2.247879,2.1353890307781214
1.527309,1.4779995288664871,1.438017,1.4612532638298035
1.350559,1.3633579079382017,1.350527,1.347758043619951
2.245562,2.218431093101124,2.245577,2.21994367196222
2.254923,2.2585516418767178,2.254845,2.2588910243355578
2.247102,2.245996622596749,2.247375,2.2468411326564492
2.253138,2.255746623308429,2.252975,2.25704623037079
2.232103,2.24210497525727,2.231558,2.250756963222301
2.245743,2.257711675202252,2.246035,2.245623174611989
2.257771,2.259878160858271,2.257951,2.242946451465354
2.241647,2.08918090627461,2.152635,2.135459341717734
1.617432,1.4779983431536579,1.346156,1.4614201455570246
1.353314,1.3634109952199047,1.349136,1.3476445158046317
2.243415,2.2182210638252826,2.254989,2.2197525961950895
2.250397,2.2589277637981695,2.243117,2.2591882298140966
2.247588,2.245704424017429,2.250449,2.2467108633417894
2.23613,2.2560095487611704,2.232518,2.2571260345843136
2.241913,2.241876127326236,2.240097,2.250693914264204
2.262671,2.257898460875065,2.264904,2.2456881210236865
2.253979,2.2596459826313797,2.255816,2.2427654640983086
1.804704,2.0892655512604037,2.163991,2.135529168112754
1.425288,1.4779988140951623,1.425368,1.4615874000432107
