Test Packet Size (MB),Predicted Packet Size (MB)
0.008194,0.40332895936610724
0.693349,0.704163712769152
1.867964,1.0721335713726294
2.311274,1.4130346926643225
2.336657,1.5489232853817534
2.307836,1.3584883649445318
1.856265,1.0228362902719068
1.424057,0.6661646647648174
0.45771,0.28721773684956187
0.244395,0.010518939214436474
0.006879,0.06130902053245768
0.698841,0.4032188667977533
1.396388,0.8747265981147003
2.299294,1.2793150382866851
2.349702,1.430083828244729
2.369663,1.2768475702838769
1.869826,0.9777565277305936
0.705647,0.6211058129726514
0.695049,0.2470397487557856
0.00842,-0.001775143977747251
0.010521,0.046255766617961935
0.008725,0.3836046969241687
0.707591,0.8697515147299895
1.594657,1.277872913270964
1.636459,1.4177623213122021
1.626109,1.2750224080224843
1.176801,0.9810245754480749
0.248852,0.6151810398616337
0.007902,0.24251260746339032
0.006069,0.00295032933349626
0.007468,0.04424054628294527
0.006896,0.38008866578601735
0.69961,0.8724752166617513
0.959869,1.2781946023642137
0.913582,1.4135027166327707
0.918262,1.2773512361685744
0.69196,0.9831297809864348
0.241529,0.6121107237110497
0.008485,0.241834940199826
0.007773,0.005606542755546284
0.006687,0.04281476875606016
0.939713,0.37947073515562085
2.329014,0.8742445927727551
2.336626,1.2773220624763346
2.318239,1.411719316420906
2.330783,1.2794134799769517
2.308845,0.983752773472755
1.607931,0.6103519697640274
0.699571,0.24192371222693898
0.233349,0.0066279766939751905
0.007371,0.04201075521916631
0.69393,0.37983221716354526
1.37697,0.874979650412975
2.060053,1.2762185815937008
2.283683,1.41111487645759
2.083203,1.2808434725149844
1.375654,0.9838446718081928
0.704109,0.6094314787672312
0.454592,0.24200401667793836
0.00913,0.006872636036078905
