Test Traffic (Users),Predicted Trafic (User)
922788,924397.4581556392
922862,924500.4114790903
921433,924568.4002453702
918579,924636.989542488
920498,924706.1793704437
922119,924775.9697292373
920274,924846.3606188687
912726,924917.3520393381
921187,924988.9439906452
924142,925061.1364727903
919235,925133.9294857732
921248,925207.323029594
918955,925281.3171042528
921629,925355.9117097494
945800,925431.1068460839
948190,925506.9025132563
935217,925583.2987112665
923711,925660.2954401146
916483,925737.8926998005
915839,925816.0904903244
919495,925894.8888116862
921541,925974.2876638859
921950,926054.2870469234
922348,926134.8869607989
921687,926216.0874055122
917434,926297.8883810634
921125,926380.2898874524
924215,926463.2919246793
921481,926546.8944927441
920639,926631.0975916468
920285,926715.9012213874
922171,926801.3053819659
923525,926887.3100733823
917337,926973.9152956366
919761,927061.1210487287
919751,927148.9273326587
920875,927237.3341474265
920793,927326.3414930323
935488,927415.949369476
948488,927506.1577767575
947757,927596.9667148769
909389,927688.3761838343
923869,927780.3861836295
921756,927872.9967142625
923807,927966.2077757334
920861,928060.0193680422
922391,928154.4314911889
922987,928249.4441451735
917531,928345.057329996
919549,928441.2710456564
921419,928538.0852921547
919880,928635.5000694908
919779,928733.5153776647
919979,928832.1312166766
922352,928931.3475865263
921153,929031.164487214
918720,929131.5819187395
923786,929232.5998811029
924241,929334.2183743042
921570,929436.4373983435
